Feature 1,Feature 2,Combined Impact,Synergy Score,Individual Sum
Active Mean,act_data_pkt_fwd,0.024477796456473213,0.020701156290876013,0.0037766402
act_data_pkt_fwd,Bwd Packet Length Mean,0.022042858189174105,0.01948170387951391,0.0025611543
Bwd IAT Min,act_data_pkt_fwd,0.02223513671875,0.017971532193273305,0.0042636045
Total Backward Packets,act_data_pkt_fwd,0.02062591029575893,0.017530841326926436,0.003095069
act_data_pkt_fwd,Init_Win_bytes_forward,0.019751363699776786,0.017126022172612804,0.0026253415
Idle Std,act_data_pkt_fwd,0.021723079310825892,0.01505081709670169,0.006672262
act_data_pkt_fwd,Active Std,0.017067699148995537,0.014566163221118707,0.002501536
SYN Flag Count,act_data_pkt_fwd,0.01750082240513393,0.013985864325229611,0.003514958
act_data_pkt_fwd,ACK Flag Count,0.01623411342075893,0.013637224729572024,0.0025968887
Fwd PSH Flags,act_data_pkt_fwd,0.017589568568638393,0.013012260606757232,0.004577308
CWE Flag Count,act_data_pkt_fwd,0.015830953194754464,0.01275545364152108,0.0030754996
act_data_pkt_fwd,Bwd Packet Length Min,0.014873908342633928,0.012085591418508972,0.002788317
Down/Up Ratio,act_data_pkt_fwd,0.018804165736607144,0.011936160472056697,0.0068680053
Bwd Packet Length Max,act_data_pkt_fwd,0.023325464564732144,0.01117573479878051,0.01214973
act_data_pkt_fwd,Init_Win_bytes_backward,0.013754424874441964,0.01097856951202665,0.0027758554
RST Flag Count,act_data_pkt_fwd,0.01487457310267857,0.010083244884844337,0.004791328
Active Mean,Bwd Packet Length Mean,0.012346245814732143,0.008866028860828707,0.003480217
Bwd IAT Min,Active Mean,0.012371559012276786,0.007188891842556852,0.005182667
Active Mean,Total Backward Packets,0.010941184430803571,0.006927052817727838,0.0040141316
Active Mean,Init_Win_bytes_forward,0.01009753662109375,0.006553132216855884,0.0035444044
Bwd IAT Min,Bwd Packet Length Mean,0.010255688127790178,0.006288506814007248,0.0039671813
Total Backward Packets,Bwd Packet Length Mean,0.008662948172433035,0.005864301949633019,0.0027986462
Init_Win_bytes_forward,Bwd Packet Length Mean,0.007905875244140626,0.00557695646300912,0.0023289188
Idle Std,Active Mean,0.012111938825334822,0.004520613966967379,0.007591325
Bwd IAT Min,Total Backward Packets,0.008793634730747768,0.004292538757792541,0.004501096
Active Mean,Active Std,0.007652620326450893,0.004232021521500179,0.0034205988
Bwd IAT Min,Init_Win_bytes_forward,0.007857737862723214,0.0038263693314364976,0.0040313685
Total Backward Packets,Init_Win_bytes_forward,0.00660542009626116,0.003742586655957358,0.0028628334
URG Flag Count,act_data_pkt_fwd,0.02767202845982143,0.0036645460056407113,0.024007482
Active Mean,SYN Flag Count,0.008047981480189733,0.0036139607560421744,0.0044340207
Idle Std,Bwd Packet Length Mean,0.009768958740234375,0.0033931192721426487,0.0063758395
Active Mean,ACK Flag Count,0.0067965073939732145,0.0032805560585430693,0.0035159513
Bwd Packet Length Mean,Active Std,0.005463200509207589,0.003258087560193879,0.002205113
SYN Flag Count,Bwd Packet Length Mean,0.0059601335797991074,0.0027415987115885533,0.0032185349
Fwd PSH Flags,Active Mean,0.008180022495814732,0.0026836518896903305,0.0054963706
Active Mean,CWE Flag Count,0.0065665492466517855,0.00257198704917516,0.003994562
ACK Flag Count,Bwd Packet Length Mean,0.004759901210239955,0.0024594354979161704,0.0023004657
Active Mean,Bwd Packet Length Min,0.00567567618233817,0.0019682963811393298,0.0037073798
Fwd PSH Flags,Bwd Packet Length Mean,0.00611990461077009,0.0018390193949214054,0.004280885
Idle Std,Bwd IAT Min,0.009875347028459821,0.001797057810212884,0.008078289
Bwd IAT Min,Active Std,0.005616828874860491,0.0017092657100302834,0.003907563
CWE Flag Count,Bwd Packet Length Mean,0.004411772984095982,0.0016326966425563609,0.0027790763
Down/Up Ratio,Active Mean,0.009383152727399554,0.0015960843529445792,0.0077870684
Idle Std,Total Backward Packets,0.008450540422712054,0.0015407862954480312,0.006909754
Total Backward Packets,Active Std,0.004227444109235491,0.0014884165010494842,0.0027390276
Init_Win_bytes_forward,Active Std,0.0034445736258370534,0.0011752734593195573,0.0022693002
Idle Std,Init_Win_bytes_forward,0.007562979910714285,0.001122953225118773,0.0064400267
Bwd Packet Length Min,Init_Win_bytes_backward,0.00377976318359375,0.0010731679527461527,0.0027065952
Bwd IAT Min,SYN Flag Count,0.00594513671875,0.0010241516347229479,0.004920985
Bwd Packet Length Min,Bwd Packet Length Mean,0.0034509896414620534,0.0009590954633695737,0.0024918942
Active Mean,Init_Win_bytes_backward,0.0046184124755859375,0.0009234942360967398,0.0036949182
SYN Flag Count,Total Backward Packets,0.004629395141601563,0.0008769453813880683,0.0037524498
Down/Up Ratio,Bwd Packet Length Mean,0.007304382149832589,0.0007327996313146179,0.0065715825
Bwd IAT Min,ACK Flag Count,0.004728380388532366,0.0007254646932227269,0.0040029157
Total Backward Packets,ACK Flag Count,0.003481146065848214,0.0006467654615214891,0.0028343806
Init_Win_bytes_forward,ACK Flag Count,0.0028248902239118305,0.00046023706125361595,0.0023646532
Bwd Packet Length Max,Active Mean,0.013521710728236607,0.00045291831804173364,0.013068792
SYN Flag Count,Init_Win_bytes_forward,0.0037279880196707587,0.00044526570112577487,0.0032827223
Fwd PSH Flags,Bwd IAT Min,0.0062337810407366075,0.00025044607473271273,0.005983335
Init_Win_bytes_backward,Bwd Packet Length Mean,0.002609561811174665,0.00013012919479182773,0.0024794326
Init_Win_bytes_backward,Active Std,0.0025443825857979913,0.00012456858402916382,0.002419814
Bwd IAT Min,CWE Flag Count,0.004604949253627232,0.00012342269627111258,0.0044815266
Init_Win_bytes_backward,ACK Flag Count,0.0025619060407366073,4.673904282706141e-05,0.002515167
CWE Flag Count,Init_Win_bytes_backward,0.0030169906180245536,2.3212990899171195e-05,0.0029937776
Fwd PSH Flags,Total Backward Packets,0.004776121390206473,-3.867848481450744e-05,0.0048148
Total Backward Packets,CWE Flag Count,0.003139835902622768,-0.00017315533091979366,0.0033129912
RST Flag Count,Active Mean,0.005512808314732143,-0.00019758301300661866,0.0057103913
Bwd Packet Length Min,Active Std,0.0020813367135184154,-0.00035093884996005445,0.0024322756
CWE Flag Count,Init_Win_bytes_forward,0.0024804673985072546,-0.00036279639336679647,0.0028432638
Fwd PSH Flags,Init_Win_bytes_forward,0.003939454084123884,-0.0004056183492285861,0.0043450724
RST Flag Count,Init_Win_bytes_backward,0.004265534144810268,-0.00044407237974660764,0.0047096065
CWE Flag Count,Active Std,0.0022095343889508927,-0.0005099238036360061,0.0027194582
Inbound,act_data_pkt_fwd,0.016330556640625,-0.00054273225903511,0.016873289
Bwd IAT Min,Bwd Packet Length Min,0.0036112114606584823,-0.0005831329332504952,0.0041943444
Total Backward Packets,Bwd Packet Length Min,0.0023623102242606026,-0.0006634986130041737,0.0030258088
Bwd Packet Length Max,Bwd Packet Length Mean,0.011171920340401785,-0.0006813862138560847,0.011853307
CWE Flag Count,Bwd Packet Length Min,0.0022612845284598216,-0.0007449546603752032,0.0030062392
Bwd Packet Length Min,ACK Flag Count,0.0017742859322684153,-0.000753342627350773,0.0025276286
RST Flag Count,Bwd Packet Length Mean,0.0037081312779017857,-0.0007867741938999721,0.0044949055
Bwd Packet Length Min,Init_Win_bytes_forward,0.001735521937779018,-0.0008205594578172479,0.0025560814
Init_Win_bytes_backward,Init_Win_bytes_forward,0.0016979135131835938,-0.0008457063207030296,0.0025436198
Total Backward Packets,Init_Win_bytes_backward,0.0021083826991489954,-0.0009049645764061384,0.0030133473
ACK Flag Count,Active Std,0.0012773401750837054,-0.0009635071554567132,0.0022408473
RST Flag Count,Active Std,0.003372332502092634,-0.001062954355095114,0.004435287
RST Flag Count,Bwd Packet Length Min,0.00365339599609375,-0.0010686720901727678,0.004722068
Down/Up Ratio,Bwd IAT Min,0.007199591761997768,-0.001074440972336701,0.008274033
Idle Std,Active Std,0.005190876639229911,-0.0011253442142478056,0.006316221
Down/Up Ratio,Total Backward Packets,0.0059293622698102675,-0.00117613490788,0.007105497
Bwd IAT Min,Init_Win_bytes_backward,0.002853401925223214,-0.0013284804413148336,0.0041818824
SYN Flag Count,Active Std,0.0016900132969447546,-0.001468903422313077,0.0031589167
Down/Up Ratio,Init_Win_bytes_forward,0.005148609793526786,-0.001487159942494971,0.0066357697
RST Flag Count,Total Backward Packets,0.003493421718052455,-0.0015353984129215991,0.00502882
RST Flag Count,Init_Win_bytes_forward,0.0030233118547712055,-0.0015357808345343384,0.0045590927
SYN Flag Count,ACK Flag Count,0.0016203881399972097,-0.001633881109740053,0.0032542692
RST Flag Count,CWE Flag Count,0.0033745710972377233,-0.0016346796181372233,0.0050092507
CWE Flag Count,ACK Flag Count,0.0011772986929757254,-0.0016375120300906045,0.0028148107
Idle Std,SYN Flag Count,0.005690271170479911,-0.0016393716021946498,0.007329643
Protocol,act_data_pkt_fwd,0.016335,-0.001775172823071481,0.018110173
RST Flag Count,ACK Flag Count,0.0026947530255998883,-0.001835886827728578,0.00453064
SYN Flag Count,Init_Win_bytes_backward,0.0015578636387416295,-0.0018753725150546857,0.0034332362
Idle Std,ACK Flag Count,0.004429856567382813,-0.001981717282235622,0.006411574
RST Flag Count,Bwd IAT Min,0.00414431396484375,-0.0020530417227745054,0.0061973557
Fwd PSH Flags,Active Std,0.0019846024431501115,-0.002236664158084563,0.0042212666
Bwd Packet Length Max,Bwd IAT Min,0.011228453020368304,-0.002327303749706064,0.013555757
SYN Flag Count,Bwd Packet Length Min,0.0009676883152553013,-0.002478009400250656,0.0034456977
Bwd Packet Length Max,Total Backward Packets,0.009897132045200893,-0.0024900896338905607,0.012387222
Idle Std,Fwd PSH Flags,0.005838594447544643,-0.002553398672768048,0.008391993
Idle Std,CWE Flag Count,0.0041925732421875,-0.002697611003816128,0.0068901842
SYN Flag Count,CWE Flag Count,0.0010336990574428013,-0.0026991810543409416,0.00373288
Bwd Packet Length Max,Init_Win_bytes_forward,0.00914290021623884,-0.002774594021184103,0.011917494
Fwd PSH Flags,ACK Flag Count,0.0013832491629464285,-0.0029333704344289644,0.0043166196
Fwd PSH Flags,Init_Win_bytes_backward,0.0015179886300223215,-0.0029775976385814805,0.0044955863
Fwd PSH Flags,SYN Flag Count,0.0021628302873883927,-0.003071858233043126,0.0052346885
RST Flag Count,SYN Flag Count,0.002216011439732143,-0.0032326978023137364,0.0054487092
Fwd PSH Flags,CWE Flag Count,0.0014667600795200892,-0.0033284699142404964,0.00479523
Idle Std,Bwd Packet Length Min,0.003203464529854911,-0.0033995375527015753,0.006603002
Fwd PSH Flags,Bwd Packet Length Min,0.0010261263820103236,-0.0034819214483031206,0.004508048
Down/Up Ratio,Active Std,0.0028026595197405135,-0.0037093043841634477,0.006511964
Down/Up Ratio,Idle Std,0.00695182373046875,-0.003730867158174515,0.010682691
Idle Std,Init_Win_bytes_backward,0.002524351806640625,-0.0040661887142062186,0.0065905405
RST Flag Count,Fwd PSH Flags,0.0022922549874441964,-0.004218804136578526,0.006511059
Down/Up Ratio,SYN Flag Count,0.0032574928501674107,-0.0042678934385946814,0.0075253863
Down/Up Ratio,ACK Flag Count,0.002147576424734933,-0.004459740475309747,0.006607317
Idle Std,RST Flag Count,0.003733832833426339,-0.004872180077178137,0.008606013
Bwd Packet Length Max,Idle Std,0.01091207763671875,-0.005052337287664414,0.015964415
Bwd Packet Length Max,Active Std,0.006718081752232143,-0.005075607118734292,0.011793689
Down/Up Ratio,Fwd PSH Flags,0.003403427472795759,-0.005184309163604464,0.008587737
Down/Up Ratio,CWE Flag Count,0.0018336527797154017,-0.005252274982375758,0.0070859278
Down/Up Ratio,Bwd Packet Length Min,0.0011171346827915736,-0.005681610450191157,0.006798745
Bwd Packet Length Max,SYN Flag Count,0.007011636265345982,-0.005795474059156009,0.01280711
Down/Up Ratio,Init_Win_bytes_backward,0.0009250650024414062,-0.005861218568831682,0.0067862836
Bwd Packet Length Max,ACK Flag Count,0.005954035121372768,-0.005935006280073098,0.011889041
Bwd Packet Length Max,Fwd PSH Flags,0.007134549560546875,-0.0067349111115932465,0.013869461
Down/Up Ratio,RST Flag Count,0.0019931707327706474,-0.006808585693921362,0.008801756
Bwd Packet Length Max,CWE Flag Count,0.005537422136579241,-0.006830229661251817,0.012367652
URG Flag Count,Active Mean,0.0174716259765625,-0.007454919121861459,0.024926545
Bwd Packet Length Max,Bwd Packet Length Min,0.004568249075753348,-0.007512221024291856,0.01208047
Bwd Packet Length Max,Down/Up Ratio,0.008528621128627232,-0.007631537311843463,0.016160158
Bwd Packet Length Max,Init_Win_bytes_backward,0.0035578978620256696,-0.008510110210648604,0.012068008
URG Flag Count,Bwd Packet Length Mean,0.015116489606584821,-0.008594569635902133,0.02371106
Bwd Packet Length Max,RST Flag Count,0.004439007132393973,-0.009644473330037935,0.01408348
URG Flag Count,Bwd IAT Min,0.015122229352678571,-0.01029128010562488,0.02541351
URG Flag Count,Total Backward Packets,0.013867667410714286,-0.010377307887928826,0.024244975
URG Flag Count,Init_Win_bytes_forward,0.013065126604352679,-0.010710119389976774,0.023775246
Inbound,Active Mean,0.006992955671037946,-0.010799395872865405,0.017792352
Inbound,Bwd Packet Length Mean,0.004911022338867188,-0.011665843349099158,0.016576866
Protocol,Active Mean,0.006993355364118304,-0.012035880103196415,0.019029235
Protocol,Bwd Packet Length Mean,0.0049120319475446424,-0.012901717663833074,0.01781375
URG Flag Count,Idle Std,0.014783552943638393,-0.01303861373765128,0.027822167
URG Flag Count,Active Std,0.010446535818917411,-0.013204905740278107,0.023651442
Inbound,Bwd IAT Min,0.004897514997209821,-0.013381800906573024,0.018279316
Inbound,Total Backward Packets,0.003622912161690848,-0.013487867719786509,0.01711078
URG Flag Count,SYN Flag Count,0.010894759172712053,-0.013770104771341597,0.024664864
Inbound,Init_Win_bytes_forward,0.002842903529575893,-0.013798150772878102,0.016641054
URG Flag Count,ACK Flag Count,0.009829556884765625,-0.013917237204909325,0.023746794
Inbound,Init_Win_bytes_backward,0.0024376185389927457,-0.014353948667390006,0.016791567
Protocol,Bwd IAT Min,0.004896049717494419,-0.014620150109699795,0.0195162
Protocol,Total Backward Packets,0.003620166015625,-0.014727499651908874,0.018347666
URG Flag Count,Fwd PSH Flags,0.010993699951171875,-0.014733512477874756,0.025727212
URG Flag Count,CWE Flag Count,0.009333019321986607,-0.014892385164073535,0.024225404
Inbound,Active Std,0.0014992936488560267,-0.015017954355818885,0.016517248
Protocol,Init_Win_bytes_forward,0.002838716299874442,-0.015039220063345772,0.017877936
Inbound,Bwd Packet Length Min,0.0015110967145647322,-0.015292931587866375,0.016804028
Inbound,ACK Flag Count,0.0011090968104771205,-0.015503503724677223,0.0166126
URG Flag Count,Bwd Packet Length Min,0.008388043910435268,-0.015550177946516445,0.023938222
Protocol,Init_Win_bytes_backward,0.0024321555873325893,-0.015596295542461532,0.018028451
URG Flag Count,Down/Up Ratio,0.012362493373325893,-0.01565541682405131,0.02801791
Inbound,CWE Flag Count,0.0010579907662527901,-0.016033220165286747,0.017091211
Inbound,Idle Std,0.004577524152483259,-0.016110450836930957,0.020687975
Protocol,Active Std,0.0014931889561244419,-0.016260942971961838,0.017754132
Inbound,RST Flag Count,0.0025112770298549108,-0.01629576349760805,0.01880704
Inbound,SYN Flag Count,0.0010926021466936384,-0.016438068242839405,0.01753067
Protocol,Bwd Packet Length Min,0.0015040467616489956,-0.01653686546419348,0.018040912
URG Flag Count,Init_Win_bytes_backward,0.0072950833565848215,-0.016630677404318537,0.02392576
Protocol,ACK Flag Count,0.0011048941693987166,-0.016744590289166996,0.017849484
URG Flag Count,Bwd Packet Length Max,0.01648587681361607,-0.016813759282146182,0.033299636
Protocol,CWE Flag Count,0.0010544110979352679,-0.017273683757015636,0.018328095
Protocol,Idle Std,0.004577087140764509,-0.017347769909415927,0.021924857
Inbound,Fwd PSH Flags,0.0011578949410574776,-0.017435125796113695,0.01859302
Protocol,RST Flag Count,0.002505162091936384,-0.017538762358937945,0.020043924
URG Flag Count,RST Flag Count,0.008285603724888393,-0.01765563035709517,0.025941234
Protocol,SYN Flag Count,0.0010852872794015066,-0.017682267033542906,0.018767554
Inbound,Down/Up Ratio,0.00224879891531808,-0.018634917727538516,0.020883717
Protocol,Fwd PSH Flags,0.0011548017011369979,-0.018675101096800394,0.019829903
Protocol,Down/Up Ratio,0.0022438152640206475,-0.01987678530224732,0.0221206
Inbound,Bwd Packet Length Max,0.006053770926339286,-0.02011166975225721,0.02616544
Protocol,Bwd Packet Length Max,0.006053142613002232,-0.021349183851650782,0.027402326
URG Flag Count,Inbound,0.009867942243303571,-0.028155253917489735,0.038023196
URG Flag Count,Protocol,0.009871159319196429,-0.029388918902363094,0.03926008
Protocol,Inbound,1.118062104497637e-05,-0.03211470218334879,0.032125883
